RTlexdec,Familiarity,Word,AgeSubject,WordCategory,WrittenFrequency
6.54375355965694,2.37,doe,young,N,3.91202300542815
6.3975960997593,4.43,whore,young,N,4.52178857704904
6.30494228210337,5.6,stress,young,N,6.50578406012823
6.42422051545205,3.87,pork,young,N,5.01727983681492
6.45059679646508,3.93,plug,young,N,4.89034912822175
6.53197032497538,3.27,prop,young,N,4.77068462446567
6.37058567987654,3.73,dawn,young,N,6.383506634884
6.2668589342206,5.67,dog,young,N,7.15929190479756
6.60864818886089,3.1,arc,young,N,4.89034912822175
6.28484286510464,4.43,skirt,young,N,5.92958914338989
6.60716356790878,3.27,spree,young,N,3.40119738166216
6.41439294709245,6.73,are,young,N,11.2796936982972
6.63358155655515,1.72,sprig,young,N,3.52636052461616
6.33315528648419,3.3,pipe,young,N,5.99893656194668
6.47212988777908,2.23,hooch,young,N,1.94591014905531
6.32597056627565,4.33,guard,young,N,6.59441345974978
6.47245448030239,3.8,tile,young,N,4.07753744390572
6.44974345970876,4.1,slope,young,N,5.80211837537706
6.38820840207076,4.66,pile,young,N,6.16120732169508
6.37587624601831,4.13,greed,young,N,5.03043792139244
6.42433403479506,3.4,plum,young,N,3.97029191355212
6.54514849067587,1.97,pith,young,N,2.484906649788
6.65544035036765,1.44,whorl,young,N,0.693147180559945
6.39359075395063,3.28,tide,young,N,6.08449941307517
6.29882056210583,3.67,jet,young,N,5.40717177146012
6.50964803527717,2.83,blitz,young,N,4.18965474202643
6.32491436367301,4.13,weed,young,N,5.12396397940326
6.56629261084571,1.93,prow,young,N,2.99573227355399
6.52702180709316,3.03,port,young,N,6.08449941307517
6.3812405557515,3.9,beach,young,N,6.96696713861398
6.36837584779809,6.03,while,young,N,9.3061958576197
6.29236511897893,3.73,jaw,young,N,5.40717177146012
6.27703814829566,5.23,arm,young,N,7.54802896993501
6.45535578368476,5.27,plan,young,N,7.46278915741245
6.34968080261554,4.63,pill,young,N,5.4553211153577
6.47256265440098,3.5,loft,young,N,3.85014760171006
6.53373069670829,3.63,grouch,young,N,1.38629436111989
6.54276010342769,2.03,spire,young,N,4.56434819146784
6.37660789319285,5.57,plate,young,N,6.48768401848461
6.42363649804471,6.17,week,young,N,8.48755838628655
6.3554477207612,4.47,spine,young,N,5.32300997913841
6.33327962813969,4.4,glove,young,N,4.4188406077966
6.36394147938917,3.47,beast,young,N,5.70044357339069
6.32312163807142,4.77,art,young,N,7.9973268229981
6.7751377543673,1.31,lisle,young,N,1.6094379124341
6.48220480361062,3.63,ant,young,N,4.24849524204936
6.44088274274461,3.83,chunk,young,N,4.14313472639153
6.46533568788021,4.17,ease,young,N,6.36302810354046
6.61097864273742,1.43,yore,young,N,1.79175946922805
6.53580714861058,3.03,brute,young,N,4.49980967033027
6.51383823457297,3.47,globe,young,N,5.22035582507832
6.364234272378,3.37,crest,young,N,4.68213122712422
6.5170506963472,2.53,churn,young,N,3.13549421592915
6.38968682244656,4.63,cloth,young,N,6.69826805411541
6.38617199856319,5.9,shirt,young,N,6.70073110954781
6.65654655939958,2.13,froth,young,N,3.68887945411394
6.71544399055881,2.73,czar,young,N,3.04452243772342
6.62882149508806,2.6,chive,young,N,1.09861228866811
6.50721800911027,4.73,east,young,N,6.64898455002478
6.4405477370384,3.13,cliff,young,N,5.57972982598622
6.39942653541473,2.9,moose,young,N,2.70805020110221
6.5617941650217,1.9,dearth,young,N,2.83321334405622
6.30539899070383,3.4,bride,young,N,5.23644196282995
6.45029663137203,3.23,roach,young,N,4.74493212836325
6.446973002078,4.3,base,young,N,7.08002649992259
6.37903720237456,4.53,zone,young,N,5.31320597904179
6.25862498383897,5.97,face,young,N,8.98732181285012
6.38901508413054,3.6,chop,young,N,4.88280192258637
6.4003072779542,3.93,sketch,young,N,5.04342511691925
6.41037223091264,2.67,woe,young,N,3.89182029811063
6.31385596987825,6.07,light,young,N,8.54752839121231
6.50151487040622,2.47,fawn,young,N,3.36729582998647
6.53198488620901,3.27,rite,young,N,4.06044301054642
6.51897028112517,2.52,plough,young,N,5.18738580584075
6.43752762464465,3.83,jack,young,N,4.30406509320417
6.32834741369488,5.8,back,young,N,10.0020651158971
6.61992652910708,3.59,chow,young,N,2.77258872223978
6.47191343421526,5.37,cent,young,N,9.21423278669153
6.41450758749022,3.4,batch,young,N,4.27666611901606
6.44506881387667,5.67,bitch,young,N,5.60947179518496
6.34189251928624,5.27,fact,young,N,9.11943049661634
6.43380788330258,3.87,fence,young,N,5.99146454710798
6.36818718635049,4.53,string,young,N,6.01126717440416
6.5186604437873,2.8,strife,young,N,4.71849887129509
6.58336772752194,4.3,sprite,young,N,1.94591014905531
6.49323933535355,3.7,herb,young,N,4.47733681447821
6.45356200478262,3.13,herd,young,N,5.18178355029209
6.5372132006632,2.8,grove,young,N,4.97673374242057
6.33917694717132,5.5,wow,young,N,3.61091791264422
6.40123703180245,6.52,word,young,N,8.2817239904114
6.4902985580216,3.77,sake,young,N,6.8373328146856
6.5649409738923,2.4,knoll,young,N,3.49650756146648
6.5287762961098,2.56,sash,young,N,3.73766961828337
6.49648837294614,4.1,aisle,young,N,4.86753445045558
6.25099788520506,4.73,knife,young,N,6.49828214947643
6.37917293362689,4.13,flame,young,N,5.59471137960184
6.344425101234,3.17,worm,young,N,4.89783979995091
6.51840955275386,2.6,torque,young,N,3.63758615972639
6.37043166390992,4.07,sack,young,N,5.48893772615669
6.4343057193321,2.97,hearth,young,N,4.39444915467244
6.31674943808862,6.47,do,young,N,10.5543533408395
6.7189527660885,3,flail,young,N,2.77258872223978
6.37087653422045,4,branch,young,N,6.86901445066571
6.30340621158099,6.37,thought,young,N,9.462421173185
6.35410913719975,4.47,theme,young,N,6.20859002609663
6.41673228251233,4.33,grill,young,N,4.38202663467388
6.39764606519989,4.5,debt,young,N,6.11809719804135
6.53550248508007,2.6,eel,young,N,4.38202663467388
6.36278669509345,5.37,bowl,young,N,6.26530121273771
6.35841402676555,6.72,book,young,N,8.50370260123374
6.40727594727029,4.93,sense,young,N,8.54675199365778
6.53341085953176,3.06,flair,young,N,4.00733318523247
6.39972574251815,2.83,swine,young,N,3.61091791264422
6.48938728551845,3.73,stance,young,N,5.48893772615669
6.33327962813969,4.23,church,young,N,7.95331834656043
6.5866956554734,2.03,boon,young,N,6.57368016696065
6.56703804509566,3.6,stench,young,N,4.34380542185368
6.33829367973119,3.83,blast,young,N,5.29831736654804
6.29513684180739,5.53,ear,young,N,6.62273632394984
6.36984961164574,4.1,draft,young,N,5.29831736654804
6.32589899456076,4.57,boss,young,N,6.02586597382531
6.33606437944487,4.33,lake,young,N,6.57786135772105
6.37456474808287,4.83,boot,young,N,5.07517381523383
6.34829947824808,5.97,page,young,N,6.98007594056176
6.56200614470071,3.03,psalm,young,N,3.68887945411394
6.40646735969664,3.57,pace,young,N,6.44571981938558
6.40146933525818,3.33,lace,young,N,5.25227342804663
6.32466357548024,4,task,young,N,7.06902342657826
6.44703641261368,2.67,pawn,young,N,3.71357206670431
6.30318658019478,4.2,lawn,young,N,5.91079664404053
6.28502928271792,4.8,court,young,N,7.73061406606374
6.43557327880835,3.03,dwarf,young,N,4.86753445045558
6.31148069338366,5.07,count,young,N,7.23993259132047
6.4281698909522,4.83,pack,young,N,6.17378610390194
6.4723462945009,1.27,nonce,young,N,1.09861228866811
6.35029217236479,4.23,shame,young,N,6.0591231955818
6.34315961200632,4.09,stole,young,N,5.23644196282995
6.66651140063614,1.7,lass,young,N,3.2188758248682
6.4923458900025,3.07,freight,young,N,4.60517018598809
6.30109767262976,6.1,coke,young,N,4.61512051684126
6.46647126500758,3.24,whack,young,N,3.13549421592915
6.45894938185251,3.3,stunt,young,N,4.24849524204936
6.60665018619822,3.17,clause,young,N,4.85203026391962
6.47812554387467,3.5,tact,young,N,4.34380542185368
6.40471593001658,3.33,pact,young,N,5.79909265446053
6.66482985015647,1.33,cowl,young,N,1.79175946922805
6.59441345974978,2.17,verve,young,N,2.30258509299405
6.44489408173266,3.7,strap,young,N,4.52178857704904
6.38497515068126,5.47,piece,young,N,7.64156444126097
6.47646454166261,3.87,cock,young,N,4.75359019110636
6.40461670069754,4.7,pound,young,N,6.64639051484773
6.48649609857519,3.53,fringe,young,N,5.48893772615669
6.5970638431475,2.63,coop,young,N,1.38629436111989
6.33132389811815,6.07,school,young,N,8.85152027169106
6.40541025968574,4.03,straw,young,N,5.98645200528444
6.44105817714455,2.97,mash,young,N,4.00733318523247
6.42386365645623,4.9,nerve,young,N,5.55295958492162
6.52082729187238,3.83,fraud,young,N,4.79579054559674
6.39312241687319,3.37,torch,young,N,5.0998664278242
6.6377297417678,1.43,yawl,young,N,1.94591014905531
6.33753344525949,3.67,mask,young,N,5.53733426701854
6.59725483644968,2.57,fern,young,N,3.76120011569356
6.32301397226598,5.6,glass,young,N,7.71735127218533
6.41836493593621,4.8,brake,young,N,4.40671924726425
6.44276307155932,3,hose,young,N,4.20469261939097
6.43133108193348,4.07,hood,young,N,4.40671924726425
6.37480333022442,4.17,chain,young,N,6.37331978957701
6.46335701637174,3.9,dose,young,N,4.78749174278205
6.39609597446757,4.81,mass,young,N,7.55066124310534
6.31664108398731,4.6,knee,young,N,6.26909628370626
6.49407148984944,3.31,clamp,young,N,3.46573590279973
6.41439294709245,3.43,duel,young,N,4.14313472639153
6.4352685694426,3.1,brace,young,N,4.04305126783455
6.51487564055847,3.47,champ,young,N,1.09861228866811
6.47620283611065,2.3,mast,young,N,3.85014760171006
6.4710316749712,2.33,hoof,young,N,3.71357206670431
6.54776054491873,3.33,hump,young,N,4.15888308335967
6.43263457983692,3.13,snag,young,N,3.87120101090789
6.30822593793525,5.67,chair,young,N,7.53743003658651
6.38127441560557,2.97,rod,young,N,6.22257626807137
6.72112445060008,2.5,brawn,young,N,2.39789527279837
6.55322089954252,2.07,roe,young,N,3.2188758248682
6.6548996636824,1.77,orb,young,N,2.19722457733622
6.31647853081852,3.93,hook,young,N,6.3135480462771
6.3475818355858,5.7,shoe,young,N,5.53733426701854
6.55118033004374,2.03,berth,young,N,4.23410650459726
6.38815796282902,3.38,doom,young,N,4.58496747867057
6.52990047408189,2.53,ore,young,N,4.02535169073515
6.39979222082962,3.2,dock,young,N,5.31811999384422
6.37935953402268,5.47,dime,young,N,4.20469261939097
6.42741036246973,3.33,brass,young,N,5.82894561761021
6.358933525288,3.5,hoop,young,N,3.3322045101752
6.55455998830765,2.23,serf,young,N,1.94591014905531
6.66726208933281,2.63,lye,young,N,2.89037175789616
6.53341085953176,4.03,gene,young,N,4.7361984483945
6.52621663639008,3.3,filth,young,N,4.61512051684126
6.46109310602363,3.13,vase,young,N,4.27666611901606
6.38805707671255,6.07,door,young,N,8.68135077758252
6.45015441645344,4.3,host,young,N,5.91079664404053
6.42085774799343,3,rake,young,N,3.97029191355212
6.4362945887384,3.3,lug,young,N,2.63905732961526
6.42139459961566,4.27,lid,young,N,5.50938833662798
6.40025744530882,3.1,rash,young,N,5.22035582507832
6.37055145615608,3.47,rage,young,N,6.282266746896
6.31664108398731,4.77,race,young,N,7.23201033166476
6.58015358252911,3,lee,young,N,5.73334127689775
6.34796697616688,3,lad,young,N,5.23110861685459
6.40244773590005,5.43,shop,young,N,7.3304052118444
6.54737347311208,3.13,thong,young,N,2.484906649788
6.33889438646303,5.47,point,young,N,8.88502565805085
6.31561113403856,5.47,leg,young,N,7.03702761468628
6.39086127981454,5.07,dial,young,N,4.34380542185368
6.57469920064204,2.17,guild,young,N,4.70048036579242
6.31407327064147,5,shot,young,N,7.33888813383888
6.3486318698084,3.2,launch,young,N,5.67332326717149
6.60724460409148,1.9,guile,young,N,3.29583686600433
6.41627466147992,4.3,rack,young,N,5.02388052084628
6.55383368395422,2.2,rasp,young,N,2.30258509299405
6.4683041328708,2.93,foe,young,N,5.52146091786225
6.42559809356383,3.6,thorn,young,N,4.49980967033027
6.32931083928234,5.23,mood,young,N,6.7093043402583
6.39102894689518,3.72,fog,young,N,5.12989871492307
6.424301602012,4.93,lip,young,N,5.72031177660741
6.41887051773299,1.93,wrack,young,N,1.79175946922805
6.46153067440067,4.2,lap,young,N,5.8111409929767
6.35798090507757,2.48,tweed,young,N,4.48863636973214
6.37679497279577,4.87,sauce,young,N,5.60947179518496
6.42614859388537,3.3,snail,young,N,3.85014760171006
6.50190509674244,3.13,draught,young,N,4.85981240436167
